"FilingID","ReferenceID","Name of Adviser","SEC File Number","CRD Number"
1928466,243978,"GARCIA HAMILTON & ASSOCIATES LP","801-56194",108017
1928511,45205,"DBRE GLOBAL REAL ESTATE MANAGEMENT 1B, LTD","",
1928132,29450,"PAAMCO PRISMA, LLC","801-57416",108989
1926614,289865,"FUNDROCK LIS S.A","802-112352",291156
1926614,237585,"FUNDROCK LIS S.A","802-112352",291156
1926614,169842,"FUNDROCK LIS S.A","802-112352",291156
1926614,237578,"FUNDROCK LIS S.A","802-112352",291156
1926614,169843,"FUNDROCK LIS S.A","802-112352",291156
1926614,217676,"FUNDROCK LIS S.A","802-112352",291156
1926614,217679,"FUNDROCK LIS S.A","802-112352",291156
1926614,217651,"FUNDROCK LIS S.A","802-112352",291156
1926614,68570,"FUNDROCK LIS S.A","802-112352",291156
1926614,69867,"FUNDROCK LIS S.A","802-112352",291156
1926614,185067,"FUNDROCK LIS S.A","802-112352",291156
1926614,289822,"FUNDROCK LIS S.A","802-112352",291156
1926614,289889,"FUNDROCK LIS S.A","802-112352",291156
1926614,289799,"FUNDROCK LIS S.A","802-112352",291156
1926614,289759,"FUNDROCK LIS S.A","802-112352",291156
1926614,379305,"FUNDROCK LIS S.A","802-112352",291156
1921822,305210,"APOLLO CREDIT MANAGEMENT, LLC","801-72098",156115
1921822,315452,"CITIGROUP ALTERNATIVE INVESTMENTS LLC","801-60990",119537
1921822,315450,"CITIGROUP ALTERNATIVE INVESTMENTS LLC","801-60990",119537
1921822,315449,"CITIGROUP ALTERNATIVE INVESTMENTS LLC","801-60990",119537
1921822,315451,"CITIGROUP ALTERNATIVE INVESTMENTS LLC","801-60990",119537
1928454,436672,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436911,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436670,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436671,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436673,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436674,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436675,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436720,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436721,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436722,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436910,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436750,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436731,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436732,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436733,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436734,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436735,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436736,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436737,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436738,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436739,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436743,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436744,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436745,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436746,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436747,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436740,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436742,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436748,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436749,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436741,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436654,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436656,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436657,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436658,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436659,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436660,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436661,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436662,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436663,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436664,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436665,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436666,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436667,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436668,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436669,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436692,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436693,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436694,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436695,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436696,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436691,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436753,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436754,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436755,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436759,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436760,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436761,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436762,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436763,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436764,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436765,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436766,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436767,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436768,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436769,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436770,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436777,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436778,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436779,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436780,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436781,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436782,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,276533,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,276532,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436729,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436707,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436708,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436709,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436682,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436683,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436684,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436685,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436703,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436704,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436705,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436706,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436716,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436717,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436718,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436719,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436723,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436724,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436725,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436726,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436727,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436728,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436730,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436751,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436752,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436756,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436757,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1928454,436758,"CIBC ASSET MANAGEMENT INC.","801-9707",106508
1920908,192943,"KOHLBERG KRAVIS ROBERTS & CO. L.P.","801-69634",144533
1922697,286107,"WAYSTONE MANAGEMENT COMPANY (LUX) S.A.","",
