"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
1936122,17703,"UBS AG, LONDON BRANCH","UBS AG, LONDON BRANCH","LONDON","","United Kingdom","N","",BFM8T61CT2L1QCEMIK50
1936122,17703,"GOLDMAN SACHS BANK USA","GOLDMAN SACHS BANK USA","NEW YORK","New York","United States","N","",KD3XUN7C6T14HNAYLU02
1936122,17703,"NATIONAL BANK OF CANADA FINANCIAL INC","NATIONAL BANK OF CANADA FINANCIAL INC","WILMINGTON","Delaware","United States","N","",549300K66TF1ST7A3V76
1936122,17706,"CREDIT SUISSE SECURITIES (USA) LLC","CREDIT SUISSE SECURITIES (USA) LLC","NEW YORK","New York","United States","N","8-422",
1936122,17706,"BANK OF MONTREAL","BANK OF MONTREAL","TORONTO","","Canada","N","",NQQ6HPCNCCU6TUTQYE16
1936122,17706,"BOFA SECURITIES, INC.","BOFA SECURITIES, INC.","NEW YORK","New York","United States","N","8-69787",
1936122,17706,"CITIGROUP GLOBAL MARKETS LTD","CITIGROUP GLOBAL MARKETS LTD","LONDON","","United Kingdom","N","",XKZZ2JZF41MRHTR1V493
1936122,17706,"HSBC BANK PLC","HSBC BANK PLC","LONDON","","United Kingdom","N","",MP6I5ZYZBEU3UXPYFY54
1936122,17706,"DEUTSCHE BANK SECURITIES INC.","DEUTSCHE BANK SECURITIES INC.","NEW YORK","New York","United States","N","8-17822",
1936122,17706,"CREDIT SUISSE INTERNATIONAL","CREDIT SUISSE INTERNATIONAL","LONDON","","United Kingdom","N","",E58DKGMJYYYJLN8C3868
1936122,17706,"NOMURA GLOBAL FINANCIAL PRODUCTS INC.","NOMURA GLOBAL FINANCIAL PRODUCTS INC.","NEW YORK","New York","United States","N","",0Z3VO5H2G7GRS05BHJ91
1936122,17706,"BNP PARIBAS SA","BNP PARIBAS SA","PARIS","","France","N","",R0MUWSFPU8MPRO8K5P83
1936122,17706,"MORGAN STANLEY CAPITAL SERVICES, INC.","MORGAN STANLEY CAPITAL SERVICES, INC.","NEW YORK","New York","United States","N","",I7331LVCZKQKX5T7XV54
1936122,17706,"CIBC WORLD MARKETS CORP.","CIBC WORLD MARKETS CORP.","WILMINGTON","Delaware","United States","N","",549300445CON3DBMU275
1936122,17706,"UBS SECURITIES LLC","UBS SECURITIES LLC","NEW YORK","New York","United States","N","8-22651",
1936122,17706,"THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND","THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND","DUBLIN","","Ireland","N","",Q2GQA2KF6XJ24W42G291
1936122,17706,"MORGAN STANLEY BANK, N.A.","MORGAN STANLEY BANK, N.A.","SALT LAKE CITY","Utah","United States","N","",G1MLHIS0N32I3QPILB75
1936122,17706,"BLACK ROCK, INC.","BLACK ROCK, INC.","NEW YORK","New York","United States","N","",549300LRIF3NWCU26A80
1936122,17706,"ROYAL BANK OF CANADA","ROYAL BANK OF CANADA","TORONTO","","Canada","N","",ES7IP3U3RHIGC71XBU11
1936122,17706,"HSBC SECURITIES (USA) INC.","HSBC SECURITIES (USA) INC.","WILMINGTON","Delaware","United States","N","",CYYGQCGNHMHPSMRL3R97
1936122,17706,"UBS AG","UBS AG","NEW YORK","New York","United States","N","",BFM8T61CT2L1QCEMIK50
1936122,17706,"CITIBANK N.A.","CITIBANK N.A.","NEW YORK","New York","United States","N","",E57ODZWZ7FF32TWEFA76
1936122,17706,"NATIXIS SECURITIES AMERICAS LLC","NATIXIS SECURITIES AMERICAS LLC","WILMINGTON","Delaware","United States","N","",549300L8G1E7ZHVEOG75
1936122,17706,"BARCLAYS BANK PLC","BARCLAYS BANK PLC","LONDON","","United Kingdom","N","",G5GSEF7VJP5I7OUK5573
1936122,17706,"MIZUHO SECURITIES USA LLC","MIZUHO SECURITIES USA LLC","NEW YORK","New York","United States","N","8-37710",
1936122,17706,"BNP PARIBAS SECURITIES CORP.","BNP PARIBAS SECURITIES CORP.","NEW YORK","New York","United States","N","8-32682",
1936122,17706,"J. ARON & COMPANY","J. ARON & COMPANY","NEW YORK","New York","United States","N","",MXKQVM4U1OHBQWFPG196
1936122,17706,"UBS AG, LONDON BRANCH","UBS AG, LONDON BRANCH","LONDON","","United Kingdom","N","",BFM8T61CT2L1QCEMIK50
1936122,17706,"SKANDINAVISKA ENSKILDA BANKEN AB","SKANDINAVISKA ENSKILDA BANKEN AB","STOCKHOLM","","Sweden","N","",F3JS33DEI6XQ4ZBPTN86
1936122,17706,"STANDARD CHARTERED BANK","STANDARD CHARTERED BANK","NEW YORK","New York","United States","N","",RILFO74KP1CM8P6PCT96
1936122,17706,"CITIGROUP GLOBAL MARKETS INC.","CITIGROUP GLOBAL MARKETS INC.","NEW YORK","New York","United States","N","8-8177",
1936122,17706,"MORGAN STANLEY CAPITAL GROUP INC.","MORGAN STANLEY CAPITAL GROUP INC.","NEW YORK","New York","United States","N","",VB7RXNZGO6KVDABYB880
1936122,17706,"CANADIAN IMPERIAL BANK OF COMMERCE, NY BRANCH","CANADIAN IMPERIAL BANK OF COMMERCE, NY BRANCH","NEW YORK","New York","United States","N","",549300H8L46OOZOFHU82
1936122,17706,"MACQUARIE BANK LIMITED","MACQUARIE BANK LIMITED","SYDNEY","","Australia","N","",4ZHCHI4KYZG2WVRT8631
1936122,17706,"DEUTSCHE BANK AG","DEUTSCHE BANK AG","FRANKFURT","","Germany","N","",7LTWFZYICNSX8D621K86
1936122,17706,"MORGAN STANLEY & CO. LLC","MORGAN STANLEY & CO. LLC","NEW YORK","New York","United States","N","8-15869",
1936122,17706,"FEDERATED HERMES, INC.","FEDERATED HERMES, INC.","PITTSBURGH","Pennsylvania","United States","N","",R05X5UQ874RGFF7HHD84
1936122,17706,"RBC EUROPE LIMITED","RBC EUROPE LIMITED","LONDON","","United Kingdom","N","",
1936122,17706,"BARCLAYS CAPITAL INC.","BARCLAYS CAPITAL INC.","NEW YORK","New York","United States","N","8-41342",
1936122,17706,"SCOTIA CAPITAL (USA) INC.","SCOTIA CAPITAL (USA) INC.","NEW YORK","New York","United States","N","8-3716",
1936122,17706,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC","BROOKLYN","New York","United States","N","",254900TS5EWP83BEOU02
1936122,17706,"KRYPTON FUND SERVICES (BERMUDA)","KRYPTON FUND SERVICES (BERMUDA)","PEMBROKE","","Bermuda","N","",
1936122,17706,"INVESCO ADVISERS, INC.","INVESCO ADVISERS, INC.","WILMINGTON","Delaware","United States","N","",O37NHJVF7S22I1ONOU83
1936122,17706,"BANK OF AMERICA CORPORATION","BANK OF AMERICA CORPORATION","WILMINGTON","Delaware","United States","N","",9DJT3UXIJIZJI4WXO774
1936122,17706,"MORGAN STANLEY & CO. INTERNATIONAL PLC","MORGAN STANLEY & CO. INTERNATIONAL PLC","LONDON","","United Kingdom","N","",4PQUHN3JPFGFNF3BB653
1936122,17706,"BARCLAYS BANK PLC, NEW YORK BRANCH","BARCLAYS BANK PLC, NEW YORK BRANCH","NEW YORK","New York","United States","N","",G5GSEF7VJP5I7OUK5573
1936122,17706,"NATIXIS NEW YORK BRANCH","NATIXIS NEW YORK BRANCH","NEW YORK","New York","United States","N","",KX1WK48MPD4Y2NCUIZ63
1936122,17706,"SOCIETE GENERALE","SOCIETE GENERALE","PARIS","","France","N","",O2RNE8IBXP4R0TD8PU41
1936122,17706,"STATE STREET INSTITUTIONAL INVESTMENT TRUST","STATE STREET INSTITUTIONAL INVESTMENT TRUST","BOSTON","Massachusetts","United States","N","",
1936122,17706,"BMO CAPITAL MARKETS CORP.","BMO CAPITAL MARKETS CORP.","NEW YORK","New York","United States","N","8-34344",
1936122,17706,"NATWEST MARKETS PLC","NATWEST MARKETS PLC","EDINBURGH","","United Kingdom","N","",RR3QWICWWIPCS8A4S074
1936122,17706,"COINBASE CUSTODY TRUST COMPANY, LLC","COINBASE CUSTODY TRUST COMPANY, LLC","NEW YORK","New York","United States","N","",549300ZHW72BH3BM4Q58
1936122,17706,"BARCLAYS CAPITAL SECURITIES, LTD.","BARCLAYS CAPITAL SECURITIES, LTD.","LONDON","","United Kingdom","N","",K9WDOH4D2PYBSLSOB484
1936122,17706,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.","NEW YORK","New York","United States","N","",B4TYDEB6GKMZO031MB27
1936122,17706,"HSBC BANK BERMUDA LIMITED","HSBC BANK BERMUDA LIMITED","HAMILTON","","Bermuda","N","",0W1U67PTV5WY3WYWKD79
1936122,17706,"CREDIT SUISSE SECURITIES (EUROPE) LTD.","CREDIT SUISSE SECURITIES (EUROPE) LTD.","LONDON","","United Kingdom","N","",DL6FFRRLF74S01HE2M14
1936122,17706,"ROYAL BANK OF CANADA, NEW YORK BRANCH","ROYAL BANK OF CANADA, NEW YORK BRANCH","NEW YORK","New York","United States","N","",ES7IP3U3RHIGC71XBU11
1936122,17706,"MIZUHO CAPITAL MARKETS LLC","MIZUHO CAPITAL MARKETS LLC","WILMINGTON","Delaware","United States","N","",OV6W8S6QX2D1J857QP30
1936122,17706,"BANK OF NEW YORK MELLON","BANK OF NEW YORK MELLON","NEW YORK","New York","United States","N","",HPFHU0OQ28E4N0NFVK49
1936122,17706,"J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","",ZBUT11V806EZRVTWT807
1936122,17706,"COMPUTERSHARE LIMITED","COMPUTERSHARE LIMITED","CHICAGO","Illinois","United States","N","",
1936122,17706,"MERRILL LYNCH CAPITAL SERVICES, INC.","MERRILL LYNCH CAPITAL SERVICES, INC.","NEW YORK","New York","United States","N","",GDWTXX036O1TB7DW3U69
1936122,17706,"NATIONAL BANK OF CANADA FINANCIAL INC.","NATIONAL BANK OF CANADA FINANCIAL INC.","NEW YORK","New York","United States","N","8-39947",
1936122,17706,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A.","SIOUX FALLS","South Dakota","United States","N","",KB1H1DSPRFMYMCUFXT09
1936122,17706,"NOMURA SECURITIES INTERNATIONAL, INC.","NOMURA SECURITIES INTERNATIONAL, INC.","NEW YORK","New York","United States","N","8-15255",
1936122,17706,"THE BANK OF NOVA SCOTIA","THE BANK OF NOVA SCOTIA","TORONTO","","Canada","N","",L3I9ZG2KFGXZ61BMYR72
1936122,17706,"ALLSPRING FUNDS MANAGEMENT, LLC","ALLSPRING FUNDS MANAGEMENT, LLC","WILMINGTON","Delaware","United States","N","",549300HDKZE50HZZOG90
1936122,17706,"NORTHERN TRUST INVESTMENTS, INC.","NORTHERN TRUST INVESTMENTS, INC.","CHICAGO","Illinois","United States","N","",BEL4B8X7EHJU845Y2N39
1936122,17706,"EQUINITI TRUST COMPANY","EQUINITI TRUST COMPANY","BOSTON","Massachusetts","United States","N","",
1936122,17706,"MERRILL LYNCH INTERNATIONAL","MERRILL LYNCH INTERNATIONAL","LONDON","","United Kingdom","N","",GGDZP1UYGU9STUHRDP48
1936122,17706,"BNP PARIBAS","BNP PARIBAS","NEW YORK","New York","United States","N","",R0MUWSFPU8MPRO8K5P83
1936122,17706,"GOLDMAN SACHS INTERNATIONAL","GOLDMAN SACHS INTERNATIONAL","LONDON","","United Kingdom","N","",W22LROWP2IHZNBB6K528
1936122,17706,"JPMORGAN CHASE BANK, N.A.","JPMORGAN CHASE BANK, N.A.","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
1936122,17706,"CANADIAN IMPERIAL BANK OF COMMERCE","CANADIAN IMPERIAL BANK OF COMMERCE","TORONTO","","Canada","N","",2IGI19DL77OX0HC3ZE78
1936122,17706,"HSBC BANK USA, N.A.","HSBC BANK USA, N.A.","NEW YORK","New York","United States","N","",1IE8VN30JCEQV1H4R804
1936122,17706,"NOMURA INTERNATIONAL PLC","NOMURA INTERNATIONAL PLC","LONDON","","United Kingdom","N","",DGQCSV2PHVF7I2743539
1936122,17706,"BANCO SANTANDER, S.A.","BANCO SANTANDER, S.A.","SANTANDER","","Spain","N","",5493006QMFDDMYWIAM13
1936122,44782,"BARCLAYS BANK PLC","BARCLAYS BANK PLC","LONDON","","United Kingdom","N","",G5GSEF7VJP5I7OUK5573
1936122,44782,"COMPUTERSHARE LIMITED","COMPUTERSHARE LIMITED","BOSTON","Massachusetts","United States","N","",
1936122,44782,"BOFA SECURITIES, INC.","BOFA SECURITIES, INC.","NEW YORK","New York","United States","N","8-69787",549300HN4UKV1E2R3U73
1936122,44782,"BARCLAYS CAPITAL SECURITIES, LTD.","BARCLAYS CAPITAL SECURITIES, LTD.","LONDON","","United Kingdom","N","",K9WDOH4D2PYBSLSOB484
1936122,44782,"BARCLAYS BANK PLC, NEW YORK BRANCH","BARCLAYS BANK PLC, NEW YORK BRANCH","NEW YORK","New York","United States","N","",G5GSEF7VJP5I7OUK5573
1936122,44782,"DEUTSCHE BANK SECURITIES INC.","DEUTSCHE BANK SECURITIES INC.","NEW YORK","New York","United States","N","8-17822",9J6MBOOO7BECTDTUZW19
1936122,44782,"BNP PARIBAS SECURITIES CORP.","BNP PARIBAS SECURITIES CORP.","NEW YORK","New York","United States","N","8-32682",RCNB6OTYUAMMP879YW96
1936122,44782,"BARCLAYS CAPITAL INC.","BARCLAYS CAPITAL INC.","NEW YORK","New York","United States","N","8-41342",AC28XWWI3WIBK2824319
1936122,44782,"MACQUARIE BANK LIMITED","MACQUARIE BANK LIMITED","SYDNEY","","Australia","N","",4ZHCHI4KYZG2WVRT8631
1936122,44782,"BLACK ROCK, INC.","BLACK ROCK, INC.","NEW YORK","New York","United States","N","",549300LRIF3NWCU26A80
1936122,44782,"DEUTSCHE BANK AG","DEUTSCHE BANK AG","FRANKFURT","","Germany","N","",7LTWFZYICNSX8D621K86
1936122,44782,"HSBC BANK USA, N.A.","HSBC BANK USA, N.A.","NEW YORK","New York","United States","N","",1IE8VN30JCEQV1H4R804
1936122,162332,"HSBC BANK USA, N.A.","HSBC BANK USA, N.A.","NEW YORK","New York","United States","N","",1IE8VN30JCEQV1H4R804
1936122,205060,"UBS AG","UBS AG","NEW YORK","New York","United States","N","",BFM8T61CT2L1QCEMIK50
1936122,205060,"BOFA SECURITIES, INC.","BOFA SECURITIES, INC.","NEW YORK","New York","United States","N","8-69787",549300HN4UKV1E2R3U73
1936122,205060,"HSBC BANK USA, N.A.","HSBC BANK USA, N.A.","NEW YORK","New York","United States","N","",1IE8VN30JCEQV1H4R804
1936122,205060,"BARCLAYS CAPITAL SECURITIES, LTD.","BARCLAYS CAPITAL SECURITIES, LTD.","LONDON","","United Kingdom","N","",K9WDOH4D2PYBSLSOB484
